name,brand,price_ref,jd_price,zol_id,产品型号,电商报价,上市时间,产品类型,产品定位,操作系统,CPU系列,CPU型号,CPU主频,最高睿频,核心/线程数,三级缓存,核心代号,制程工艺,功耗,内存容量,内存类型,硬盘容量,硬盘描述,屏幕类型,屏幕尺寸,显示比例,屏幕分辨率,亮度,屏占比,屏幕刷新率,响应时间,屏幕技术,DCI-P3色域,显卡类型,显卡芯片,显存容量,摄像头,音频系统,扬声器,麦克风,无线网卡,蓝牙,数据接口,指取设备,键盘描述,人脸识别,电池类型,电源适配器,笔记本重量,长度,宽度,厚度,外壳材质,外壳描述,安全性能,其它特点,变形方式,插槽数量,最大内存容量,触控屏,色域,屏幕边框,显存类型,显存位宽,有线网卡,其它接口,二级缓存,续航时间,散热系统,附带软件,sRGB色域,读卡器,对比度,像素密度,指纹识别,特色功能,包装清单,保修政策,质保时间,Adobe RGB色域,显卡最高功耗,独显直连,工作温度,工作湿度,存储温度,DeltaE,NFC,error,pub_date,总线规格,NTSC色域
联想小新16 2025款 i5-13420H/24GB/512GBlenovo 小新16 2025款 i5-13420H/24GB/512GB笔记本电脑_规格_,联想,,,2144207,小新 16 IRH10,￥4999,,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 13代系列,Intel 酷睿i5 13420H中端主流机,,4.6GHz运行流畅,八核心/十二线程多任务运行强,12MB,Raptor Lake,7nm,52W耗电高,24GB极速运行,DDR5,512GB,SSD固态硬盘（PCIe4.0）,,16英寸16,16:10,1920x1200全高清屏,,,60Hz,,无频闪全局DC调光，莱茵硬件低蓝光认证，莱茵无频闪认证,,核芯显卡,Intel UHD Graphics,共享内存容量 略显吃力,500万像素摄像头,杜比认证音效,双扬声器,矩阵式降噪麦克风,WiFi6,支持蓝牙功能,2×USB-A，2×全功能USB-C，1×HDMI，3.5mm耳机,大尺寸触控板,人体工程学键盘,,锂电池，50瓦时,,1.81Kg,,,17-20mm,丝绸铝,鸽子灰,通过MIL-STD-810H军标测试,,,2xSO-DIMM,96GB,不支持触控,,,,,,,,,TYPHOON Max大尺寸轻音散热,Office 2024 家庭版,100%,Micro SD读卡器,,,,,,,,,,,,,,,,,,,
机械革命无界15X Pro 暴风雪 锐龙 AI 9 H 365/32GB/1TBMECHREVO 无界15X Pro 暴风雪 锐龙 AI 9 H 365/32G,机械革命,,,2138632,X5SP4NAG-A91,￥6999,2025年,家用,轻薄笔记本商务办公本游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD Ryzen AI 300系列,AMD Ryzen AI 9 H 365,2GHz,5GHz运行流畅,十核心/二十线程多任务运行强,24MB,Strix Point,4nm,28W,32GB（16GB×2）极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,,15.3英寸15.3游戏、便捷,16:10,2560x1600超高清屏,400nits,,120Hz,,,,核芯显卡,AMD Radeon 880M,共享内存容量 略显吃力,集成IR人脸识别摄像头普清,Nahimic声效认证,,,WiFi6,,1×Thunderbolt4，1×USB3.1 Type-C（全功能），3×USB3.0，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,,全尺寸键盘,支持,锂电池，99瓦时,140W私有协议氮化镓电源适配器,1.77Kg,,,,金属,白色，全金属机身，暴风雪皮肤,,,翻转,,,不支持触控,sRGB：100%,,,,1000Mbps以太网卡,1×RJ45千兆（网络接口）,10MB,约15小时左右，视具体使用环境而定长续航笔记本,并联双热管散热架构,内置星界智联APP,,,,,,,,,,,,,,,,,,,2025年,,
来酷斗战者 战7000 酷睿版 2025 i7-14650HX/16GB/1TB/RTX5060Lecoo 斗战者 战7000 酷睿版 2025 i7-14,其他,,,2137401,斗战者N176B,￥9299,2025年07月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i7 14代系列,Intel 酷睿i7 14650HX高端机,2.2GHz,5.2GHz运行流畅,16核心/24线程,30MB,Raptor Lake,7nm,130W耗电高,16GB极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,猎光电竞屏,16英寸16,16:10,2560x1600超高清屏,500nits,,180Hz,,VRR可变刷新率，全DC调光，HDR高动态显示,,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,集成摄像头普清,,内置扬声器,内置麦克风,WiFi6,支持蓝牙功能,左侧：2×USB-A 右侧：2×USB-A 后置：1×全功能USB-C，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,,全尺寸键盘,,锂电池，80瓦时,,,,,,A面金属,月光灰,,,,2xSO-DIMM,,,,,GDDR7,128bit,1000Mbps以太网卡,1×RJ45（网络接口），电源接口,,,飓风散热架构，三风扇旗舰级进风配置，多维贯穿式风道，内导流聚风鳍片，全域冰封铠甲，4×高性能热管,,100%,,,,,,,,,,115W,支持,,,,,,,2025年07月,,
联想拯救者R9000P 2026 R9 8945HX/16GB/1TB/RTX5060lenovo 拯救者R9000P 2026 R9 8945HX/16GB/,联想,,,2167817,拯救者R9000P 2026,￥13499,2026年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD Ryzen 8000,AMD Ryzen 9 8945HX,2.5GHz,5.4GHz运行流畅,16核心/32线程,64MB,Zen 4,5nm,120W耗电高,16GB（16GB×1）极速运行热门游戏本,DDR5 5600MHz,1TB,SSD固态硬盘（PCIe4.0）,专业超竞屏,16英寸16,16:10,2560x1600超高清屏,500nits,,240Hz,3ms,硬件级低蓝光，莱茵TUV认证，FreeSync Premium，DisplayHDR 400,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,HD摄像头高清,Nahimic音效,旗舰4扬声器,内置麦克风,WiFi7,支持蓝牙功能,左侧：2×USB-C，1×USB-A 右侧：2×USB-A，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,一体式精准触摸板,背光键盘,,锂电池，80瓦时,300W 自适应交流电源适配器,2.5Kg,,,21.9-26.7mm,,碳晶黑，冰魄白,,,,,,不支持触控,,,GDDR7,128bit,2.5Gbps以太网卡,1×RJ45（网络接口），电源接口,16MB,,第二代乾坤Pro散热系统,正版 Office,,,,,,,,,,,115W,支持,,,,,,,2026年05月,,
戴尔灵越 15 3511 i5 1135G7/16GB/512GB/集显DELL 灵越 15 3511 i5 1135G7/16GB/512GB/集显,戴尔,,,1974600,,,2021年07月,家用,轻薄笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 11代系列,Intel 酷睿i5 1135G7中端主流机,2.4GHz,4.2GHz运行流畅,四核心/八线程多任务运行强,8MB,Tiger Lake,10nm,,16GB（8GB×2）极速运行,DDR4 2666MHz,512GB,SSD固态硬盘,,15.6英寸15.6游戏、便捷,16:9,1920x1080全高清屏,,84.57%,,,FHD,,集成显卡,Intel Iris Xe Graphics,共享内存容量略显吃力,集成摄像头普清,内置音效芯片,内置扬声器,内置麦克风,,,1×USB2.0，2×USB3.2，1×USB3.0 Type-C，1×HDMI1.4，耳机/麦克风二合一接口,触摸板,全尺寸键盘,,3芯锂电池，41瓦时,100V-240V 65W 自适应交流电源适配器,1.85Kg,358.5mm,235.56mm,17.5mm,,,,下沉式转轴,,,32GB,不支持触控,,,,,1000Mbps以太网卡,电源接口,,视具体使用环境而定长续航笔记本,,,,SD读卡器,,,,,笔记本电脑 x1 适配器 x1 电源线 x1 保修卡 x1,,,,,,,,,,,,2021年07月,OPI 4GT/s,
华为MateBook D 14 SE版 2024 i5 13420H/16GB/512GB华为 MateBook D 14 SE版 2024 i5 13420H,华为,,,1974239,MateBook D 14 SE版 2024,,2024年,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 13代系列,Intel 酷睿i5 13420H中端主流机,3.4GHz,4.6GHz运行流畅,8核心/12线程多任务运行强,12MB,,Intel 7（10纳米）,,16GB极速运行,LPDDR4X（低功耗版）4266MHz,512GB,SSD固态硬盘,IPS,14英寸14游戏、便捷,16:10,1920x1200全高清屏,300nits,90%,,,德国莱茵低蓝光护眼认证,,集成显卡,Intel Iris Xe Graphics,共享内存容量 略显吃力,集成100万像素摄像头普清,,内置扬声器,内置麦克风,WiFi6,支持，蓝牙5.1模块,左侧：1×USB3.2 Gen1，1×USB Type-C 右侧：1×USB2.0，左侧：1×HDMI，左侧：1×3.5mm耳机/麦克风二合一接口,触摸板,背光键盘,不支持,4芯锂电池，56瓦时,100V-240V 65W 自适应交流电源适配器,1.39Kg,314.5mm,227.79mm,15.9mm,,,,电源键指纹二合一,,,,不支持触控,,,,,,,,视具体使用环境而定长续航笔记本,,Office家庭和学生版,,,1200：1,161ppi,支持智能指纹识别功能,,笔记本主机x1 电源适配器x1 保修卡x1 快速入门x1,,,,,,,,,,,,2024年,,45%
华硕ProArt创13 2026 锐龙Al Max+ 395/64GB/1TBASUS ProArt创13 2026 锐龙Al Max+ 395/64GB/1T,华硕,,,2155327,HN7306E,￥14999,2026年1月,家用,二合一笔记本轻薄笔记本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,AMD 锐龙 AI Max 300 系列,AMD 锐龙 AI Max+ 395,3GHz,5.1GHz运行流畅,十六核心/三十二线程多任务运行强,64MB,Strix Point,4nm,45-120W耗电高,64GB极速运行,LPDDR5X（低功耗版）8000MHz,1TB,SSD固态硬盘,OLED,13.3英寸13.3移动、办公,16:10,2880x1800超高清屏,,,60Hz,,,,集成显卡,AMD Radeon 8060S Graphics,共享内存容量 略显吃力,1080p FHD摄像头（IR）高清,,,,WiFi 7,支持，蓝牙5.4模块,2×USB4.0接口，1×USB 3.1接口，1×HDMI2.1，3.5mm耳机/麦克风二合一接口,,,支持,锂电池，73瓦时,200W USB Type-C电源适配器,,298.2mm,209.9mm,15.8mm,ACD面金属材质B面高强度复合材质,黑色,,,翻转,,,支持十点触控,DCI-P3：100%,,,,,1×电源接口,16MB,,双风扇三热管,,,Micro SD读卡器,,,,,,,,,,,,,,,,,2026年1月,,
华为擎云 G540 Gen2 i7 1360P/8GB*2/1TB/集显,华为,¥9449,,2172417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华为擎云 G540 Gen2 i7 1360P/8GB*2/512GB/集显,华为,¥9449,,2172416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华为擎云 G540 Gen2 i5 1340P/8GB*2/1TB/集显,华为,¥6998,,2172415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华为擎云 G540 Gen2 i5 1340P/8GB*2/512GB/集显,华为,¥6998,,2172414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华为擎云 L540x 优享版 麒麟9000C/16GB/1TB/KOS,华为,¥6998,,2172413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华为擎云 L540x 优享版 麒麟9000C/16GB/1TB/UOS,华为,¥6998,,2172412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
擎云 L540x 优享版 麒麟9000C/16GB/512GB/UOS,华为,,,2172410,,,,商用,商务办公本轻薄笔记本,麒麟试用版系统,华为海思 麒麟系列,麒麟 9006C,,3.13GHz运行流畅,八核心多任务运行强,,,5nm,,16GB极速运行,DDR5,512GB,,IPS屏幕,14英寸14游戏、便捷,3:2,2160x1440超高清屏,,90%,60Hz,,IPS广视角屏幕,,核芯显卡,Mali-G78,共享内存容量 略显吃力,集成摄像头，隐藏式按压摄像头，1080P普清,内置音效芯片,内置扬声器,内置麦克风,支持802.11a/b/g/n/ac/ax无线协议，支持双频（2.4GHz+5GHz）,支持蓝牙功能,1×USB-C，2×USB-A，1×HDMI，3.5mm耳机/麦克风二合一接口,,,,锂电池，70瓦时,65W USB Type-C电源适配器,1.32Kg,,,15.4mm,金属,深空灰,,,翻转,,,不支持触控,sRGB：100%,,,,,1×RJ45（网络接口）,,,,,,,,,支持,,,,,,,,,,,,,,,,
擎云 L540x 优享版 麒麟9000C/8GB/512GB/KOS,华为,,,2172409,,,,商用,商务办公本轻薄笔记本,麒麟试用版系统,华为海思 麒麟系列,麒麟 9006C,,3.13GHz运行流畅,八核心多任务运行强,,,5nm,,8GB运行流畅,DDR5,512GB,,IPS屏幕,14英寸14游戏、便捷,3:2,2160x1440超高清屏,,90%,60Hz,,IPS广视角屏幕,,核芯显卡,Mali-G78,共享内存容量 略显吃力,集成摄像头，隐藏式按压摄像头，1080P普清,内置音效芯片,内置扬声器,内置麦克风,支持802.11a/b/g/n/ac/ax无线协议，支持双频（2.4GHz+5GHz）,支持蓝牙功能,1×USB-C，2×USB-A，1×HDMI，3.5mm耳机/麦克风二合一接口,,,,锂电池，70瓦时,65W USB Type-C电源适配器,1.32Kg,,,15.4mm,金属,深空灰,,,翻转,,,不支持触控,sRGB：100%,,,,,1×RJ45（网络接口）,,,,,,,,,支持,,,,,,,,,,,,,,,,
擎云 L540x 优享版 麒麟9000C/8GB/512GB/UOS,华为,,,2172408,,,,商用,商务办公本轻薄笔记本,麒麟试用版系统,华为海思 麒麟系列,麒麟 9006C,,3.13GHz运行流畅,八核心多任务运行强,,,5nm,,8GB运行流畅,DDR5,512GB,,IPS屏幕,14英寸14游戏、便捷,3:2,2160x1440超高清屏,,90%,60Hz,,IPS广视角屏幕,,核芯显卡,Mali-G78,共享内存容量 略显吃力,集成摄像头，隐藏式按压摄像头，1080P普清,内置音效芯片,内置扬声器,内置麦克风,支持802.11a/b/g/n/ac/ax无线协议，支持双频（2.4GHz+5GHz）,支持蓝牙功能,1×USB-C，2×USB-A，1×HDMI，3.5mm耳机/麦克风二合一接口,,,,锂电池，70瓦时,65W USB Type-C电源适配器,1.32Kg,,,15.4mm,金属,深空灰,,,翻转,,,不支持触控,sRGB：100%,,,,,1×RJ45（网络接口）,,,,,,,,,支持,,,,,,,,,,,,,,,,
MateBook Fold 企业版 2026 麒麟X90/32GB/2TB,华为,,,2172340,MateBook Fold 企业版 2026,￥29499,2026年05月,商用,轻薄笔记本商务办公本二合一笔记本,HarmonyOS V1.0,HUAWEI Kirin X90,麒麟X90,,,,,,,,32GB极速运行,,2TB,SSD固态硬盘,双层 OLED（柔性显示屏）,18英寸18,展开态：4:3 折叠态（半屏）：3:2,展开态：3296x2472 折叠态（半屏）：2472x1648超高清屏,典型亮度：700nits 峰值亮度：1600nits,92%,,,展开态：18 英寸 折叠态：13 英寸,,核芯显卡,,共享内存容量 略显吃力,800万像素前置摄像头,HUAWEI SOUND音效,6×扬声器,4×麦克风,Wi-Fi 6，IEEE 802.11a/b/g/n/ac/ax，160MHz，支持双频（2.4GHz+5GHz）,支持，蓝牙5.2模块,左侧：1×USB-C 上侧：1×USB-C,压力触控板,华为星跃随行键盘,,,,1.16Kg,展开态：382.5mm 闭合态：288.5mm,展开态：288.5mm 闭合态：193.7mm,展开态：7.6mm（左）/ 7.3mm（右） 闭合态：14.9mm,,锻影黑,,星闪1.0,双屏，折叠,,,支持多点触控,P3 广色域,,,,,,,,,,,,HDR模式：2000000：1 普通模式：1000000：1,,指纹电源键,文件管理、图库、主题、畅连、华为云空间、华为应用市场、华为浏览器、小艺输入法、备忘录、日历、智慧生活、我的华为、小艺、智慧搜索、小艺慧记、应用接续、华为分享、超级终端、键鼠共享、跨设备剪贴板、跨设备互通、通信共享、查找设备、AI 智慧伴唱、AI 降噪通话,HUAWEI MateBook Fold 企业版 x1 华为超级快充电源适配器（黑色）（Max 140 W） x1 电源适配器线（黑色编织）（USB-C） x1 快速指南 x1 华为星跃随行键盘 x1 屏幕擦拭布 x1 温馨提示卡片 x1 华为折叠电脑尊享收纳包（大） x1 华为折叠电脑尊享收纳包（小） x1,,,,,,,,,,,,,,
MateBook Fold 企业版 2026 麒麟X90/32GB/1TB,华为,,,2172339,MateBook Fold 企业版 2026,￥26499,2026年05月,商用,轻薄笔记本商务办公本二合一笔记本,HarmonyOS V1.0,HUAWEI Kirin X90,麒麟X90,,,,,,,,32GB极速运行,,1TB,SSD固态硬盘,双层 OLED（柔性显示屏）,18英寸18,展开态：4:3 折叠态（半屏）：3:2,展开态：3296x2472 折叠态（半屏）：2472x1648超高清屏,典型亮度：700nits 峰值亮度：1600nits,92%,,,展开态：18 英寸 折叠态：13 英寸,,核芯显卡,,共享内存容量 略显吃力,800万像素前置摄像头,HUAWEI SOUND音效,6×扬声器,4×麦克风,Wi-Fi 6，IEEE 802.11a/b/g/n/ac/ax，160MHz，支持双频（2.4GHz+5GHz）,支持，蓝牙5.2模块,左侧：1×USB-C 上侧：1×USB-C,压力触控板,华为星跃随行键盘,,,,1.16Kg,展开态：382.5mm 闭合态：288.5mm,展开态：288.5mm 闭合态：193.7mm,展开态：7.6mm（左）/ 7.3mm（右） 闭合态：14.9mm,,云水蓝,,星闪1.0,双屏，折叠,,,支持多点触控,P3 广色域,,,,,,,,,,,,HDR模式：2000000：1 普通模式：1000000：1,,指纹电源键,文件管理、图库、主题、畅连、华为云空间、华为应用市场、华为浏览器、小艺输入法、备忘录、日历、智慧生活、我的华为、小艺、智慧搜索、小艺慧记、应用接续、华为分享、超级终端、键鼠共享、跨设备剪贴板、跨设备互通、通信共享、查找设备、AI 智慧伴唱、AI 降噪通话,HUAWEI MateBook Fold 企业版 x1 华为超级快充电源适配器（黑色）（Max 140 W） x1 电源适配器线（黑色编织）（USB-C） x1 快速指南 x1 华为星跃随行键盘 x1 屏幕擦拭布 x1 温馨提示卡片 x1 华为折叠电脑尊享收纳包（大） x1 华为折叠电脑尊享收纳包（小） x1,,,,,,,,,,,,,,
擎云 L540x 麒麟9000C/16GB/1TB/KOS试用版A116,华为,,,2172313,,,,商用,商务办公本轻薄笔记本,麒麟试用版系统,华为海思 麒麟系列,麒麟 9006C,,3.13GHz运行流畅,八核心多任务运行强,,,5nm,,8GB运行流畅,DDR5,512GB,,IPS屏幕,14英寸14游戏、便捷,3:2,2160x1440超高清屏,,90%,60Hz,,IPS广视角屏幕,,核芯显卡,Mali-G78,共享内存容量 略显吃力,集成摄像头，隐藏式按压摄像头，1080P普清,内置音效芯片,内置扬声器,内置麦克风,支持802.11a/b/g/n/ac/ax无线协议，支持双频（2.4GHz+5GHz）,支持蓝牙功能,1×USB-C，2×USB-A，1×HDMI，3.5mm耳机/麦克风二合一接口,,,,锂电池，70瓦时,65W USB Type-C电源适配器,1.32Kg,,,15.4mm,金属,深空灰,,,翻转,,,不支持触控,sRGB：100%,,,,,1×RJ45（网络接口）,,,,,,,,,支持,,,,,,,,,,,,,,,,
Surface Laptop 第8代 15英寸 骁龙X2 Elite/32GB/1TB,微软,,,2171870,,,2026年07月,家用,轻薄笔记本,Windows 11家庭中文版,骁龙 X2系列,Snapdragon X2 Elite,4GHz,4.7GHz运行流畅,12核心,,,TSMC N3B,,32GB极速运行,LPDDR5,1TB,SSD固态硬盘（PCIe4.0）,LCD HDR触控屏,15英寸15游戏、便捷,,,,,,,,,核芯显卡,Qualcomm Adreno GPU,共享内存容量 略显吃力,1080p 全高清摄像头,内置音效芯片,内置扬声器,内置麦克风,WiFi 7，支持802.11 a/b/g/n/ac/ax/be无线协议，支持双频（2.4GHz+5GHz）,支持,2×USB4 Type-C接口，1×USB3.2 Gen1 Type-A接口，3.5mm耳机/麦克风二合一接口,触摸板,全尺寸键盘,,锂电池,USB Type-C电源适配器,1.66Kg,,,,,亮铂金，典雅黑,,,翻转,1xSO-DIMM,,支持多点触控,,,,,,Surface Connect接口,,支持长达 19 小时的本地视频播放 支持长达 14 小时的网页浏览长续航笔记本,,,,MicroSDXC Express读卡器,,,,,,,,,,,,,,,,,,,
拯救者Y7000P 2025 AI元启 i9 14900HX/16GB/1TB/RTX5060,联想,,,2128706,拯救者Y7000P 2025 AI元启,,2025年05月,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i9 14代系列,Intel 酷睿i9 14900HX旗舰机,2.2GHz,5.8GHz运行流畅,24核心/32线程,36MB,Raptor Lake,7nm,130W耗电高,16GB（16GB×1）极速运行热门游戏本,DDR5,1TB,SSD固态硬盘（PCIe4.0）,,16英寸16,,2560x1600超高清屏,500nits,,240Hz,3ms,,100%,双显卡（发烧级独立显卡＋集成显卡）,NVIDIA GeForce RTX5060,8GB显示流畅,集成摄像头普清,内置音效芯片,内置扬声器,内置麦克风,WiFi7,支持蓝牙功能,,,全尺寸键盘（包含独立数字键盘）,,锂电池，80瓦时,,,,,,,碳晶黑,,,,,,不支持触控,,,GDDR7,,1000Mbps以太网卡,,,,第二代乾坤散热,Office家庭和学生版,,,,,,,,,,,115W,,,,,,,,,,
拯救者Y7000 2024 i7 13650HX/24GB/1TB/RTX4060,联想,,,2103838,,￥9999,2024年,家用,游戏本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i7 13代系列,Intel 酷睿i7 13650HX高端机,2.6GHz,4.9GHz运行流畅,14核心/20线程,24MB,Raptor Lake,Intel 7（10纳米）,,24GB极速运行热门游戏本,DDR5 4800MHz,1TB,SSD固态硬盘（PCIe4.0）,IPS,15.6英寸15.6游戏、便捷,16:9,1920x1080全高清屏,300nits,,144Hz,,DC调光,,发烧级独立显卡,NVIDIA GeForce RTX 4060,8GB显示流畅,,纳美音效,,,WiFi6>，支持802.11ax无线协议,,左侧：1×USB3.2 Gen2 Type-C 右侧：1×USB3.2 Gen1 后置：1×USB3.2 Gen2 Type-C，2×USB3.2 Gen1，HDMI2.1，3.5mm耳机/麦克风二合一接口,触摸板,全尺寸键盘（包含独立数字键盘）,,,100V-240V 230W 自适应交流电源适配器,,,,,,,,,,,,不支持触控,,,GDDR6,,,1×RJ45（网络接口），电源接口,,,双风扇，4热管,,100%,,,,,,,,,,140W,支持,,,,,,,,,
MateBook D 16 2024 i5 13420H/16GB/1TB,华为,,,1959880,MateBook D 16 2024(MCLG-16),,2023年11月,商用,轻薄笔记本商务办公本,预装Windows 11 Home Basic 64bit（64位家庭普通版）,英特尔 酷睿i5 13代系列,Intel 酷睿i5 13420H中端主流机,3.4GHz,4.6GHz运行流畅,8核心/12线程多任务运行强,12MB,,Intel 7（10nm）,,16GB极速运行,LPDDR4X,1TB,SSD固态硬盘（M.2 2280）,IPS,16英寸16,16:10,1920x1200全高清屏,300nits,90%,,,可视角度：178度，莱茵硬件级低蓝光和无频闪认证,,集成显卡,Intel Iris Xe Graphics,共享内存容量略显吃力,集成100万像素摄像头普清,内置音效芯片,立体声双扬声器,2麦克风,WiFi6,支持，蓝牙5.1模块,左侧：USB-A接口， 右侧：USB-A接口，左侧：HDMI，左侧：耳机/麦克风二合一接口,触摸板,全尺寸背光键盘（1.5mm键程）,不支持,锂电池，56瓦时,65W USB Type-C电源适配器,1.7Kg,356.7mm,248.7mm,17mm,,颜色：深空灰，皓月银,,电源键指纹二合一,,,,不支持触控,sRGB：100%,,,,,,,本地1080P视频播放约13小时长续航笔记本,,Office家庭和学生版,100%,,1200：1,142ppi,支持智能指纹识别功能,超级终端、华为电脑管家、显示管理、华为移动应用引擎、华为F10一键还原、华为应用市场、华为浏览器、HMS、超级中转站、华为云空间,笔记本电脑x1 USB-C电源适配器 (适配器和充电线一体式连接)x1 快速指南x1,,,,,,,,,,,,,,
